recno,GaiaEDR3,RA_ICRS,DE_ICRS,Gmag,e_Gmag,plx,e_plx,Bp-Rp,e_Bp-Rp,pmRA,e_pmRA,pmDE,e_pmDE,_RA_icrs,_DE_icrs
405,70114039734416128,55.5203,25.6631,14.5597,7.0E-4,7.18,0.04,2.5621,0.0471,19.61,0.04,-44.44,0.03,55.5202,25.6633
523,70118197262752768,55.476,25.7296,15.5579,7.0E-4,7.42,0.05,2.6319,0.0771,21.9,0.05,-46.35,0.03,55.4759,25.7298
239,70121805035254144,55.5197,25.8857,12.4061,0.001,7.46,0.02,1.3656,0.0041,21.06,0.02,-46.9,0.01,55.5196,25.8859
941,70123003329050880,55.9337,25.6636,17.2204,0.0012,7.66,0.13,3.1162,0.1518,20.67,0.13,-45.99,0.1,55.9336,25.6638
194,70125000491024128,55.9543,25.7294,11.7337,9.0E-4,7.51,0.02,1.1455,0.0021,21.27,0.02,-47.77,0.01,55.9542,25.7296
734,70127955428529536,55.771,25.7429,16.5279,0.0011,7.53,0.08,3.0445,0.1158,20.49,0.08,-47.0,0.07,55.7709,25.7431
570,70129050643128832,55.9029,25.7834,15.7886,0.0011,7.78,0.05,2.7681,0.0734,21.21,0.06,-47.43,0.04,55.9028,25.7836
247,70132658415356672,56.0188,25.8561,12.5128,0.0017,7.31,0.02,1.4364,0.0025,19.26,0.02,-43.27,0.02,56.0187,25.8563
432,70138881823528832,56.1102,26.0415,14.9187,0.0011,7.58,0.07,2.541,0.0049,19.73,0.1,-48.06,0.06,56.1101,26.0417
761,70146853284493312,55.7363,25.9805,16.5979,0.002,7.21,0.11,3.0539,0.0601,21.23,0.14,-45.77,0.09,55.7362,25.9807
545,70150357977789056,55.8593,26.0417,15.6823,0.0015,7.53,0.04,2.7231,0.0424,21.04,0.06,-46.58,0.03,55.8592,26.0419
581,70152144684310144,55.9463,26.0764,15.8355,0.0014,7.12,0.05,2.7806,0.0523,20.13,0.08,-44.88,0.05,55.9462,26.0766
654,70153484713977472,55.8295,26.0787,16.2557,0.0015,7.33,0.07,2.9241,0.0826,20.09,0.09,-45.59,0.05,55.8294,26.0789
232,70158977974956672,55.1775,25.7053,12.3133,0.0014,7.4,0.02,1.3088,0.0024,20.79,0.02,-45.87,0.01,55.1774,25.7055
614,70160287942261376,55.2929,25.7654,16.0408,0.0014,7.8,0.05,2.8926,0.0982,21.56,0.05,-47.15,0.04,55.2928,25.7656
611,70165476262750976,55.1681,25.8466,16.019,0.0012,7.26,0.05,2.832,0.109,20.87,0.05,-45.71,0.04,55.168,25.8468
244,70169251536714624,55.4962,25.9207,12.4495,7.0E-4,7.29,0.02,1.3623,0.0059,20.58,0.02,-45.14,0.01,55.4961,25.9209
925,70175474946486784,55.0446,25.8248,17.1806,0.001,7.08,0.09,3.0962,0.1207,18.87,0.1,-43.41,0.08,55.0445,25.825
1115,70176265220466048,55.0497,25.8755,17.9776,0.0019,7.04,0.15,3.3076,0.1275,19.67,0.16,-43.16,0.13,55.0496,25.8757
1044,70180216590377600,54.9911,25.9248,17.5929,0.002,7.67,0.11,3.3875,0.1703,21.07,0.12,-47.35,0.1,54.991,25.925
803,70189837317110016,55.0456,26.1112,16.7432,0.001,7.12,0.08,3.0389,0.1152,20.13,0.09,-43.72,0.07,55.0455,26.1114
541,70200935512668800,55.4953,26.2058,15.6683,0.0012,7.04,0.04,2.692,0.0773,19.52,0.06,-44.18,0.04,55.4952,26.206
818,70201725786644608,55.7251,26.1377,16.8072,0.0011,7.66,0.08,3.0683,0.126,19.96,0.1,-46.85,0.06,55.725,26.1379
1021,70215705904150272,55.2981,26.2718,17.5299,0.0013,7.13,0.11,3.2153,0.1262,19.35,0.14,-44.35,0.1,55.298,26.272
1150,70230652389756928,56.339,26.0903,18.2111,0.0018,7.37,0.15,3.5836,0.1654,20.16,0.18,-46.41,0.12,56.3389,26.0905
217,70234882933734400,56.221,26.1418,12.1302,0.0012,7.83,0.02,1.2784,0.0027,21.61,0.02,-48.86,0.01,56.2209,26.142
1031,70241033326866944,56.4951,26.3337,17.5515,0.0023,7.27,0.16,3.4922,0.1312,20.0,0.16,-44.53,0.12,56.495,26.3339
166,70242785673539712,56.2843,26.2923,11.2254,0.0013,7.36,0.03,1.0094,0.0012,19.67,0.03,-45.71,0.02,56.2842,26.2925
544,70248180152474368,56.1397,26.248,15.6809,0.0018,7.51,0.08,2.8131,0.0449,19.9,0.09,-46.31,0.07,56.1396,26.2482
142,70252681278085376,56.0641,26.331,10.8698,7.0E-4,7.25,0.02,0.9226,0.0014,20.04,0.02,-44.72,0.01,56.064,26.3312
831,70271854012150912,56.599,26.5729,16.846,0.0016,7.53,0.07,3.0999,0.1086,19.27,0.09,-46.89,0.06,56.5989,26.5731
680,70274190474468864,56.8684,26.5348,16.3381,0.0015,7.37,0.06,2.9358,0.0768,20.17,0.08,-46.31,0.06,56.8683,26.535
195,70286319462343808,56.3081,26.5882,11.7473,0.001,7.11,0.02,1.1114,0.0019,19.3,0.02,-44.33,0.02,56.308,26.5884
1231,70294733301751680,56.563,26.7801,19.2274,0.0042,7.6,0.43,3.5333,0.1833,20.31,0.58,-47.13,0.35,56.5629,26.7803
1202,70305865857368064,55.9066,26.5335,18.748,0.0023,7.12,0.25,3.2287,0.1405,19.01,0.26,-42.12,0.21,55.9065,26.5337
1252,70306106375800064,55.8669,26.4987,19.7188,0.0038,7.57,0.44,3.293,0.2067,21.17,0.45,-46.73,0.39,55.8668,26.4989
297,70313016978627584,55.9087,26.6123,13.3905,0.0013,7.03,0.02,1.6709,0.0087,18.97,0.02,-43.74,0.01,55.9086,26.6125
804,70334384440377472,56.2676,26.6789,16.7432,0.0011,7.3,0.07,3.0471,0.1084,20.27,0.08,-46.11,0.06,56.2675,26.6791
968,70356580830628864,56.0206,26.9695,17.3151,0.0012,7.47,0.1,3.2658,0.1811,20.59,0.13,-45.55,0.08,56.0205,26.9697
1154,70376097161725952,57.7175,26.1944,18.2726,0.0016,7.21,0.19,3.6186,0.227,19.0,0.26,-45.63,0.14,57.7174,26.1946
1187,70387057918968064,57.5666,26.1935,18.5788,0.0019,7.4,0.22,3.5772,0.1878,20.35,0.3,-45.79,0.16,57.5665,26.1937
863,70403589251055488,57.6655,26.5715,16.9569,7.0E-4,7.62,0.09,,,19.31,0.09,-47.13,0.06,57.6654,26.5717
752,70403589251055232,57.6655,26.5722,16.5771,9.0E-4,7.43,0.08,2.9548,0.0675,20.43,0.08,-46.53,0.05,57.6654,26.5724
475,70404894921335936,58.0509,26.369,15.2436,9.0E-4,7.55,0.04,2.8241,0.0611,19.16,0.05,-45.61,0.03,58.0508,26.3692
306,70426507196531456,57.7941,26.5875,13.4568,0.001,7.01,0.02,1.6937,0.0112,18.03,0.02,-44.11,0.01,57.794,26.5877
1061,70426782074435584,57.7713,26.6141,17.6656,0.001,7.19,0.15,3.2588,0.1759,18.3,0.15,-43.63,0.11,57.7712,26.6143
906,70433241705178240,58.1743,26.7695,17.1106,0.0012,7.39,0.08,3.1806,0.1427,18.96,0.12,-47.62,0.09,58.1742,26.7697
1156,70453303494018432,57.4507,26.6297,18.2862,0.0017,7.63,0.18,3.4555,0.1631,19.29,0.2,-46.37,0.13,57.4506,26.6299
666,70457671479120000,57.1798,26.539,16.2974,0.002,7.61,0.06,2.918,0.0691,20.64,0.08,-46.27,0.05,57.1797,26.5392
731,70457877637565824,57.0694,26.5031,16.5253,8.0E-4,7.77,0.07,3.0226,0.1262,20.78,0.09,-49.07,0.05,57.0693,26.5033
410,70459836143275392,57.2378,26.6149,14.616,8.0E-4,7.58,0.12,2.4232,0.0372,22.77,0.14,-45.31,0.08,57.2377,26.6151
283,70461554129560448,57.052,26.5836,13.1789,0.001,7.58,0.02,1.6359,0.0075,20.98,0.03,-46.57,0.02,57.0519,26.5838
182,70462688000922880,56.9901,26.6291,11.4624,7.0E-4,7.57,0.02,1.076,0.0029,19.92,0.03,-47.52,0.02,56.99,26.6293
1238,70472304429797248,57.3175,26.8174,19.3646,0.0026,7.4,0.37,2.9606,0.1798,19.08,0.39,-46.0,0.27,57.3174,26.8176
623,70493268167993984,57.4094,26.8514,16.0966,0.001,7.31,0.05,2.849,0.0916,19.6,0.06,-45.51,0.04,57.4093,26.8516
850,70495707709395584,57.5268,26.9717,16.9179,0.0012,7.47,0.08,3.0637,0.142,19.55,0.08,-45.64,0.06,57.5267,26.9719
1264,70740482188431872,56.507,27.2264,20.3024,0.0071,7.62,1.02,2.6192,0.2972,19.77,0.94,-44.05,0.7,56.5069,27.2266
1074,70847512772943488,57.8662,27.982,17.7182,0.0012,7.54,0.11,3.3528,0.1625,19.97,0.15,-49.05,0.1,57.8661,27.9822
1054,70934649068656896,54.9882,26.1165,17.6383,0.0022,7.51,0.17,3.4252,0.0844,21.16,0.16,-48.51,0.1,54.9881,26.1167
751,70938810893886208,54.8435,26.1932,16.5763,9.0E-4,7.3,0.09,2.9238,0.0975,20.81,0.08,-46.98,0.07,54.8434,26.1934
150,70941383577307392,55.0241,26.1962,11.0226,5.0E-4,7.83,0.02,0.9945,0.0023,22.07,0.03,-48.86,0.02,55.024,26.1964
373,71021927100882560,54.4001,26.5467,14.1866,8.0E-4,7.39,0.03,2.1378,0.0332,20.97,0.03,-45.69,0.02,54.4,26.5469
308,71042439864623104,54.8263,26.7932,13.479,0.0013,7.36,0.02,1.7291,0.0081,20.26,0.02,-45.5,0.02,54.8262,26.7934
1028,71042641727187968,54.8149,26.8009,17.5429,0.0017,7.73,0.14,3.2932,0.1608,21.6,0.16,-48.27,0.12,54.8148,26.8011
859,71056252479453056,54.6161,26.8569,16.9379,0.0012,7.09,0.1,3.1599,0.1545,20.12,0.13,-45.03,0.09,54.616,26.8571
608,71059138697443200,54.767,27.0012,16.0111,0.001,7.2,0.05,2.8034,0.0776,23.38,0.07,-42.92,0.04,54.7669,27.0014
526,71078483230315520,55.4503,26.789,15.5814,9.0E-4,7.07,0.04,2.6199,0.0759,19.99,0.04,-42.89,0.03,55.4502,26.7892
739,71079441007018880,55.5526,26.829,16.5443,9.0E-4,7.09,0.09,3.214,0.1106,19.36,0.08,-43.63,0.06,55.5525,26.8292
830,71100404743364992,55.4854,27.0493,16.8443,0.0011,7.58,0.09,3.0137,0.1115,21.17,0.09,-47.08,0.07,55.4853,27.0495
846,71103428400426368,55.4711,27.0785,16.8932,0.0013,7.35,0.1,3.1389,0.0979,20.29,0.1,-45.68,0.07,55.471,27.0787
1093,71108440625265280,55.9122,27.0169,17.831,0.0015,7.47,0.14,3.4504,0.1656,20.95,0.19,-45.77,0.13,55.9121,27.0171
987,71151841271691904,55.39,27.1638,17.3985,0.0013,7.5,0.14,3.4323,0.0959,20.87,0.15,-46.43,0.11,55.3899,27.164
571,71161771235981312,54.9507,27.1894,15.7922,0.0017,7.29,0.05,2.7502,0.052,19.87,0.05,-44.06,0.04,54.9506,27.1896
428,71202831123254272,55.4117,27.6852,14.8195,5.0E-4,7.47,0.03,2.5328,0.0682,20.87,0.05,-46.26,0.03,55.4116,27.6854
1124,71205133225715328,55.6039,27.7042,18.0412,0.0019,7.17,0.16,3.1433,0.0846,18.51,0.19,-41.9,0.15,55.6038,27.7044
594,71207710206088192,55.5986,27.7655,15.9272,9.0E-4,7.29,0.07,2.8589,0.0914,19.6,0.07,-44.52,0.05,55.5985,27.7657
678,71216093982249984,54.3,26.7745,16.3346,9.0E-4,7.09,0.08,3.1325,0.1179,20.57,0.1,-43.83,0.09,54.2999,26.7747
507,71409985986006016,55.0695,27.9226,15.4561,7.0E-4,7.45,0.04,2.6442,0.0741,20.47,0.05,-45.46,0.04,55.0694,27.9228
