recno,GaiaEDR3,RA_ICRS,DE_ICRS,Gmag,e_Gmag,plx,e_plx,Bp-Rp,e_Bp-Rp,pmRA,e_pmRA,pmDE,e_pmDE,_RA_icrs,_DE_icrs
592,64951111087777536,56.6504,23.0713,15.9228,7.0E-4,7.83,0.05,2.8799,0.0711,20.97,0.07,-46.88,0.05,56.6503,23.0715
862,64951626483855744,56.5902,23.0668,16.9563,0.0025,7.38,0.14,3.3357,0.097,19.4,0.2,-45.68,0.12,56.5901,23.067
1111,64952068862923520,56.5892,23.0857,17.931,0.002,7.08,0.17,3.3816,0.1101,18.17,0.22,-45.36,0.15,56.5891,23.0859
66,64952829074688896,56.6667,23.1101,9.2956,2.0E-4,7.39,0.02,0.6417,0.0023,19.26,0.03,-46.76,0.02,56.6666,23.1103
1223,64953481907702016,56.7024,23.1659,18.9682,0.0029,7.32,0.32,3.7116,0.1539,17.84,0.4,-48.74,0.26,56.7023,23.1661
775,64956127609659008,56.4558,23.1429,16.6529,9.0E-4,7.62,0.07,2.8564,0.075,21.0,0.09,-45.23,0.05,56.4557,23.1431
16,64956127609464320,56.4535,23.1469,6.8952,3.0E-4,7.42,0.04,0.0246,1.0E-4,20.51,0.05,-45.7,0.03,56.4534,23.1471
100,64956123313498368,56.453,23.1479,10.1265,0.0011,7.4,0.02,,,19.03,0.02,-45.46,0.01,56.4529,23.1481
281,64959662365552384,56.7807,23.2262,13.1433,0.0023,7.31,0.02,1.5969,0.0034,19.3,0.02,-45.44,0.01,56.7806,23.2264
397,64960663095015680,56.738,23.2505,14.4864,0.001,7.38,0.03,2.212,0.0371,20.42,0.03,-46.06,0.02,56.7379,23.2507
697,64962174923490304,56.8842,23.3063,16.4116,0.001,7.34,0.06,2.8912,0.065,20.73,0.07,-45.43,0.05,56.8841,23.3065
789,64963377514329984,56.8418,23.36,16.6882,0.0013,7.46,0.07,3.0536,0.1133,21.31,0.08,-44.5,0.06,56.8417,23.3602
363,64964717544035200,56.6371,23.3051,14.0187,0.002,7.43,0.02,2.0111,0.0089,20.54,0.03,-45.04,0.02,56.637,23.3053
1005,64966916567283456,56.7305,23.3802,17.4539,0.0018,7.29,0.12,3.199,0.1432,18.86,0.14,-45.67,0.1,56.7304,23.3804
741,64967569402404480,56.8142,23.4348,16.5484,0.0011,7.07,0.07,3.018,0.1041,20.61,0.08,-46.19,0.06,56.8141,23.435
881,64967603762044928,56.7897,23.4322,17.0424,0.0012,7.31,0.08,3.0634,0.1248,20.74,0.09,-43.9,0.07,56.7896,23.4324
1144,64971722633920768,56.4582,23.329,18.1614,0.0023,7.24,0.18,3.7836,0.1438,19.14,0.26,-45.61,0.16,56.4581,23.3292
284,64971933089093760,56.5349,23.3473,13.2178,0.0022,7.39,0.02,1.641,0.0039,19.54,0.02,-45.25,0.01,56.5348,23.3475
627,64974338270788864,56.3007,23.3646,16.1149,0.0021,7.4,0.06,2.8657,0.0761,20.35,0.07,-45.84,0.05,56.3006,23.3648
978,64974574492213248,56.4287,23.3366,17.3637,0.0013,7.49,0.1,3.2475,0.122,21.41,0.13,-45.05,0.08,56.4286,23.3368
365,64977705525131904,56.6473,23.4115,14.0812,0.0011,7.22,0.02,2.0335,0.02,20.3,0.03,-44.83,0.02,56.6472,23.4117
1250,64977838668129152,56.5586,23.3656,19.6423,0.0044,7.02,0.42,3.6469,0.1878,19.79,0.52,-44.7,0.37,56.5585,23.3658
169,64979732749686016,56.756,23.4947,11.2736,6.0E-4,7.39,0.02,1.0054,0.0025,19.07,0.02,-45.02,0.02,56.7559,23.4949
209,64980278208557696,56.6678,23.4975,11.9617,0.002,7.36,0.02,1.4194,0.0013,16.02,0.02,-46.94,0.01,56.6677,23.4977
663,64980832261312640,56.7088,23.5321,16.2886,0.0018,7.44,0.05,2.9297,0.0701,20.88,0.06,-45.02,0.04,56.7087,23.5323
238,64981137202021376,56.5173,23.4053,12.3976,0.0028,7.35,0.01,1.382,0.0014,19.01,0.02,-45.46,0.01,56.5172,23.4055
939,64981863053470592,56.5937,23.4854,17.2197,0.0016,7.15,0.09,3.3249,0.174,19.86,0.1,-44.83,0.07,56.5936,23.4856
114,64981931772948480,56.5751,23.4865,10.3636,5.0E-4,7.18,0.02,1.1261,0.0022,19.82,0.02,-43.24,0.02,56.575,23.4867
660,64982344089813248,56.4699,23.4649,16.2745,0.0029,7.22,0.06,2.9367,0.079,20.0,0.08,-46.25,0.05,56.4698,23.4651
898,64984951133439232,56.5529,23.587,17.0922,0.0011,7.28,0.09,3.2279,0.1009,20.86,0.1,-44.74,0.07,56.5528,23.5872
252,64985127228608128,56.6158,23.5925,12.5638,0.0039,7.35,0.02,1.5844,0.0013,18.43,0.02,-44.86,0.01,56.6157,23.5927
1153,64986325522809728,57.0208,23.4036,18.2679,0.0019,7.45,0.18,3.233,0.1079,19.84,0.21,-47.14,0.18,57.0207,23.4038
700,64987876007763968,57.0636,23.4347,16.4186,0.0012,7.35,0.07,2.8655,0.083,18.68,0.08,-45.77,0.07,57.0635,23.4349
833,64988322684358144,57.0946,23.4617,16.8472,0.0011,7.51,0.08,3.1535,0.1093,20.59,0.08,-45.14,0.06,57.0945,23.4619
1087,64988803720689408,57.0858,23.5169,17.7831,0.0018,7.21,0.16,3.3267,0.1485,19.38,0.18,-44.94,0.14,57.0857,23.5171
335,64989490915460608,57.0458,23.5068,13.7121,0.0014,7.32,0.02,1.8174,0.0105,19.71,0.02,-44.54,0.02,57.0457,23.507
554,64990349908937984,56.8672,23.448,15.7226,8.0E-4,7.19,0.05,2.7444,0.1264,20.03,0.05,-44.36,0.04,56.8671,23.4482
278,64990586130069504,56.9085,23.4678,13.1137,0.0013,7.27,0.02,1.5855,0.0054,21.22,0.02,-44.87,0.01,56.9084,23.468
989,64990792288875264,56.9002,23.4739,17.4047,0.0013,7.55,0.1,3.1786,0.1568,19.3,0.11,-46.09,0.09,56.9001,23.4741
1158,64993579724240896,56.8748,23.554,18.288,0.0018,7.07,0.18,3.4374,0.1856,18.65,0.19,-45.25,0.15,56.8747,23.5542
1094,64997187496822912,57.2548,23.6375,17.8392,0.0014,7.41,0.15,3.2331,0.1145,19.65,0.17,-45.61,0.12,57.2547,23.6377
450,64998905483757568,57.0827,23.6031,15.0425,0.0011,7.33,0.04,2.4324,0.0424,20.81,0.04,-44.45,0.03,57.0826,23.6033
593,64999558318784768,57.0575,23.633,15.9237,0.001,7.44,0.06,2.7964,0.1093,20.12,0.06,-45.98,0.05,57.0574,23.6332
96,64999588381514496,57.0705,23.6366,9.992,3.0E-4,7.19,0.02,0.7405,0.0014,18.29,0.02,-44.76,0.02,57.0704,23.6368
1245,65000073712701056,57.0195,23.6582,19.5301,0.0038,7.06,0.47,3.4326,0.1897,19.14,0.51,-44.94,0.36,57.0194,23.6584
552,65000417312240896,57.0468,23.662,15.7112,0.0018,7.28,0.08,2.3947,0.0309,19.69,0.08,-45.05,0.06,57.0467,23.6622
559,65000623471297024,57.0637,23.7008,15.7357,0.0014,6.99,0.16,2.9153,0.0722,20.0,0.18,-45.05,0.12,57.0636,23.701
812,65000863988835200,57.0374,23.7063,16.7951,0.0017,7.55,0.08,3.0858,0.0867,20.94,0.09,-47.28,0.07,57.0373,23.7065
1105,65003612767943040,56.7599,23.5432,17.8981,0.0014,7.58,0.12,3.6698,0.1279,20.17,0.15,-47.1,0.11,56.7598,23.5434
791,65004437401569664,56.7425,23.5606,16.6947,0.0011,7.36,0.06,2.8807,0.0871,20.16,0.08,-46.01,0.06,56.7424,23.5608
116,65004712279475712,56.724,23.5834,10.3883,6.0E-4,7.5,0.02,0.8151,0.0014,20.8,0.02,-45.15,0.01,56.7239,23.5836
377,65005262035285888,56.7658,23.6161,14.2646,7.0E-4,7.21,0.02,2.4753,0.0392,20.78,0.02,-44.24,0.02,56.7657,23.6163
679,65005846150835200,56.8616,23.6339,16.3358,9.0E-4,7.2,0.07,3.1281,0.0726,19.56,0.08,-43.41,0.06,56.8615,23.6341
30,65007083101413888,56.8619,23.6781,7.7468,5.0E-4,7.47,0.03,0.2174,2.0E-4,21.72,0.03,-45.71,0.03,56.8618,23.6783
1034,65007942094880640,56.6871,23.6186,17.5574,0.0016,6.98,0.11,3.5812,0.1038,17.61,0.12,-42.46,0.09,56.687,23.6188
985,65008010814357248,56.68,23.6226,17.3815,0.0011,7.33,0.1,3.1402,0.1162,19.03,0.11,-44.73,0.09,56.6799,23.6228
723,65008388771477120,56.7193,23.6451,16.4974,0.001,7.26,0.06,3.2339,0.0999,19.34,0.07,-45.1,0.05,56.7192,23.6453
212,65010239900405504,56.7783,23.715,11.9949,5.0E-4,7.35,0.02,1.2157,0.0055,19.43,0.02,-44.41,0.01,56.7782,23.7152
683,65010519075247616,56.8446,23.7351,16.3429,0.0016,7.48,0.06,2.9733,0.0741,20.22,0.06,-45.79,0.05,56.8445,23.7353
223,65010549138050944,56.8065,23.7141,12.2159,0.0011,7.42,0.01,1.2617,0.0031,19.73,0.02,-45.61,0.01,56.8064,23.7143
370,65011412428446592,56.7894,23.742,14.1701,8.0E-4,7.33,0.03,2.3951,0.0258,21.22,0.04,-45.58,0.03,56.7893,23.7422
960,65011481147922560,56.7755,23.7554,17.2944,0.0013,7.14,0.11,3.1274,0.0922,18.27,0.11,-43.56,0.08,56.7754,23.7556
1174,65011476851589632,56.7742,23.7595,18.452,0.0018,7.36,0.2,3.3401,0.1298,18.99,0.21,-44.53,0.16,56.7741,23.7597
892,65011962184337664,56.9666,23.6632,17.0588,0.0013,7.81,0.11,3.1216,0.0799,20.61,0.11,-47.07,0.09,56.9665,23.6634
774,65012408860856832,56.9361,23.7007,16.6482,0.0011,7.25,0.08,3.0388,0.0894,20.33,0.08,-45.22,0.06,56.936,23.7009
292,65013474012743936,56.9217,23.7401,13.3178,0.0021,7.42,0.02,1.6478,0.0044,19.39,0.02,-44.42,0.01,56.9216,23.7403
605,65014195567317504,57.0332,23.7397,15.9972,0.0012,7.61,0.05,2.7871,0.0625,19.48,0.06,-46.65,0.04,57.0331,23.7399
797,65014985841292032,57.0724,23.8064,16.7351,0.0012,7.16,0.08,2.9956,0.0912,19.84,0.09,-43.43,0.06,57.0723,23.8066
18,65017627244152064,56.8375,23.8031,6.9976,3.0E-4,7.31,0.04,0.0424,1.0E-4,19.1,0.04,-45.52,0.03,56.8374,23.8033
419,65017906418989312,56.807,23.8313,14.7482,0.0011,7.39,0.03,2.6376,0.0353,20.66,0.04,-45.95,0.02,56.8069,23.8315
837,65018417518780672,56.8819,23.8718,16.8623,0.0013,7.34,0.09,3.0883,0.1033,19.27,0.1,-46.36,0.07,56.8818,23.872
1196,65019963707009024,56.8734,23.8802,18.6704,0.0021,7.58,0.24,3.3575,0.1134,20.56,0.29,-45.81,0.2,56.8733,23.8804
984,65019246448775424,57.0245,23.8834,17.3789,0.0012,7.39,0.11,3.1116,0.1093,20.18,0.13,-43.47,0.08,57.0244,23.8836
88,65020414679879296,56.969,23.941,9.7611,5.0E-4,7.38,0.02,0.708,0.0011,19.68,0.03,-46.39,0.02,56.9689,23.9412
375,65023232178029440,55.6227,22.7904,14.2203,8.0E-4,7.21,0.02,2.1069,0.0266,20.44,0.03,-43.62,0.02,55.6226,22.7906
354,65026839950559744,55.4463,22.8568,13.8835,8.0E-4,7.41,0.02,1.8963,0.0233,21.04,0.03,-45.91,0.02,55.4462,22.857
61,65027595864800000,55.5198,22.8584,9.0571,2.0E-4,7.45,0.02,0.6311,0.0015,20.96,0.02,-44.69,0.02,55.5197,22.8586
334,65027905102436608,55.6096,22.8945,13.7029,0.001,7.39,0.02,1.8354,0.015,20.93,0.02,-44.5,0.02,55.6095,22.8947
1137,65029550073165184,55.7357,22.8548,18.1338,0.0018,7.42,0.15,3.4208,0.1504,19.87,0.2,-43.85,0.15,55.7356,22.855
198,65030344643851776,55.7468,22.9007,11.8291,0.0013,7.73,0.05,1.1801,0.0018,20.03,0.06,-44.55,0.05,55.7467,22.9009
1182,65032745528876032,55.8441,23.0155,18.5163,0.0024,7.26,0.24,3.7325,0.1686,21.36,0.26,-46.74,0.17,55.844,23.0157
1247,65034910192391680,55.6971,23.0111,19.5446,0.0035,7.88,0.36,3.3177,0.1679,18.9,0.43,-43.9,0.33,55.697,23.0113
893,65037731987586304,55.6849,23.1043,17.0589,0.0013,7.65,0.09,3.2425,0.1406,20.18,0.09,-46.43,0.07,55.6848,23.1045
828,65038281743395584,55.7154,23.1453,16.831,0.001,7.32,0.08,3.3351,0.1021,19.91,0.09,-43.61,0.06,55.7153,23.1455
530,65040686925109760,55.4945,22.9503,15.6158,9.0E-4,7.49,0.05,2.6748,0.0916,21.19,0.06,-45.75,0.04,55.4944,22.9505
957,65042439271761280,55.4445,23.022,17.2908,0.0015,7.38,0.09,3.2461,0.1133,21.82,0.12,-45.57,0.09,55.4444,23.0222
1088,65042645428743680,55.4541,23.0564,17.7864,0.0019,7.55,0.18,3.4956,0.0898,20.47,0.24,-45.7,0.15,55.454,23.0566
798,65047043476608128,55.3599,23.1339,16.7367,0.0015,7.18,0.07,3.1456,0.0989,20.52,0.09,-43.97,0.06,55.3598,23.1341
1229,65049139420729856,55.524,23.1206,19.1417,0.003,7.61,0.28,3.4667,0.2182,19.55,0.34,-44.38,0.3,55.5239,23.1208
1204,65052639818118400,55.4323,23.1331,18.7767,0.0026,7.24,0.24,3.6409,0.1713,19.9,0.3,-44.53,0.24,55.4322,23.1333
240,65052953351603456,55.3853,23.1615,12.4139,9.0E-4,7.52,0.03,1.3606,0.0044,21.49,0.03,-46.0,0.02,55.3852,23.1617
903,65053915424355584,55.5641,23.1918,17.1049,0.0011,7.25,0.1,3.2087,0.1505,19.93,0.11,-45.17,0.08,55.564,23.192
520,65056526764528128,55.9374,23.0557,15.5383,6.0E-4,7.18,0.04,2.6872,0.0906,20.22,0.04,-44.39,0.03,55.9373,23.0559
750,65058760147520000,56.0389,23.1462,16.5743,0.0014,7.25,0.09,3.0747,0.1044,19.62,0.08,-44.38,0.07,56.0388,23.1464
113,65063707949772544,55.8523,23.2257,10.3579,6.0E-4,7.18,0.03,0.9584,0.001,20.85,0.03,-41.44,0.02,55.8522,23.2259
548,65063707949772672,55.8517,23.2249,15.6962,0.0047,7.32,0.12,1.7411,0.0019,20.9,0.25,-42.29,0.13,55.8516,23.2251
1148,65064837524605312,56.0924,23.1817,18.1819,0.0022,7.16,0.22,3.6248,0.1376,19.29,0.23,-43.28,0.17,56.0923,23.1819
162,65072435323295872,56.0468,23.3791,11.1939,0.001,7.58,0.02,1.0335,0.0013,22.04,0.03,-46.64,0.02,56.0467,23.3793
702,65078929312363392,55.6767,23.339,16.4355,0.0054,7.48,0.1,2.848,0.0142,20.65,0.1,-46.35,0.07,55.6766,23.3392
632,65079788307324672,55.6512,23.3678,16.1407,0.0018,7.46,0.07,2.8447,0.0747,19.56,0.06,-43.93,0.06,55.6511,23.368
348,65084358152509440,55.9026,23.4538,13.8314,0.0013,7.23,0.02,1.889,0.011,20.1,0.03,-44.02,0.02,55.9025,23.454
139,65086591535491584,56.0026,23.5437,10.8231,0.0011,7.3,0.02,0.9838,9.0E-4,19.56,0.02,-44.75,0.01,56.0025,23.5439
871,65088275162687104,55.7559,23.4917,16.9967,0.0013,7.5,0.09,3.0465,0.117,20.33,0.1,-46.81,0.07,55.7558,23.4919
125,65089336018173440,55.9073,23.5358,10.5763,0.001,7.52,0.02,0.8666,8.0E-4,19.53,0.02,-45.29,0.01,55.9072,23.536
301,65089473457126784,55.9526,23.5392,13.4188,6.0E-4,7.24,0.02,1.7171,0.018,21.48,0.02,-44.39,0.01,55.9525,23.5394
73,65090680344356992,55.9288,23.5946,9.4304,4.0E-4,7.39,0.12,0.6853,9.0E-4,19.83,0.15,-47.23,0.11,55.9287,23.5948
587,65096899456994304,55.0532,23.1598,15.8687,8.0E-4,6.94,0.05,2.7593,0.09,19.53,0.06,-42.01,0.04,55.0531,23.16
650,65098514364769408,55.216,23.2305,16.2324,0.0025,7.29,0.05,2.9086,0.0598,20.83,0.06,-45.03,0.04,55.2159,23.2307
829,65101606741121792,55.3583,23.2598,16.8356,0.0013,7.35,0.06,3.1384,0.1343,21.43,0.08,-45.77,0.06,55.3582,23.26
310,65107860213588096,55.3076,23.3847,13.4928,6.0E-4,7.22,0.02,1.7267,0.0189,19.49,0.02,-44.45,0.01,55.3075,23.3849
707,65108714911246720,55.0404,23.1755,16.4599,0.0011,7.43,0.06,2.8729,0.1018,19.68,0.08,-44.7,0.06,55.0403,23.1757
792,65112739296356608,55.1096,23.3579,16.7002,0.0012,7.11,0.07,3.1022,0.087,21.19,0.09,-44.56,0.07,55.1095,23.3581
90,65113559634339200,54.9217,23.2907,9.8106,3.0E-4,7.24,0.02,0.7111,0.0013,21.29,0.02,-43.71,0.01,54.9216,23.2909
418,65117206062341760,55.0009,23.4348,14.7434,0.0011,7.42,0.03,2.5746,0.042,21.35,0.04,-45.3,0.03,55.0008,23.435
131,65119164567417856,55.2103,23.4182,10.6584,7.0E-4,7.56,0.02,0.8932,0.0012,21.7,0.02,-45.5,0.01,55.2102,23.4184
1189,65119469509073152,55.1645,23.4429,18.5852,0.0021,7.56,0.23,3.2689,0.0992,21.12,0.25,-44.36,0.17,55.1644,23.4431
62,65120470237460480,55.3458,23.4867,9.0695,2.0E-4,7.48,0.02,0.5979,0.0014,21.63,0.02,-45.32,0.01,55.3457,23.4869
1253,65121810267254656,55.2726,23.549,19.741,0.0041,7.48,0.61,2.2254,0.0995,21.73,0.55,-44.81,0.39,55.2725,23.5492
388,65125452399528320,55.1313,23.5504,14.4102,6.0E-4,7.49,0.03,2.1775,0.0505,22.04,0.03,-46.28,0.02,55.1312,23.5506
1235,65125516823040256,55.1191,23.5616,19.2997,0.004,7.14,0.39,3.5181,0.2293,20.96,0.43,-43.69,0.3,55.119,23.5618
245,65125864716379264,55.2137,23.5982,12.4521,0.0012,7.52,0.02,1.3632,0.0036,21.13,0.02,-45.76,0.01,55.2136,23.5984
1140,65128506120036352,55.6418,23.4143,18.1486,0.0016,7.12,0.21,3.5555,0.1685,19.03,0.19,-45.31,0.14,55.6417,23.4145
309,65131121756446592,55.4737,23.4578,13.488,0.0022,7.49,0.03,1.8508,0.0064,21.75,0.03,-45.21,0.02,55.4736,23.458
425,65134592089910656,55.5369,23.5879,14.8034,8.0E-4,7.26,0.03,2.3496,0.0456,19.04,0.03,-44.25,0.02,55.5368,23.5881
620,65135176205557888,55.7223,23.5186,16.0754,9.0E-4,7.76,0.06,2.8521,0.0955,21.31,0.06,-47.17,0.05,55.7222,23.5188
802,65136791113382912,55.7039,23.58,16.743,0.0014,7.41,0.09,3.0774,0.1458,21.68,0.1,-46.49,0.07,55.7038,23.5802
955,65147438335354624,55.3951,23.6375,17.2869,0.0011,7.35,0.1,3.0945,0.1114,20.7,0.11,-45.87,0.08,55.395,23.6377
148,65150947325369600,55.366,23.7081,10.9726,7.0E-4,7.45,0.02,0.9606,0.0016,20.26,0.02,-45.72,0.01,55.3659,23.7083
353,65151531440914560,55.415,23.7629,13.8675,0.0011,7.58,0.02,1.886,0.0181,22.1,0.03,-46.9,0.02,55.4149,23.7631
357,65153833543386624,55.4946,23.7071,13.9355,0.0016,7.33,0.02,1.9495,0.0119,19.95,0.03,-45.75,0.01,55.4945,23.7073
1065,65155856471318912,55.6903,23.8228,17.6869,0.0015,7.09,0.12,3.4975,0.1114,21.16,0.15,-45.69,0.1,55.6902,23.823
1055,65156891560085504,55.6096,23.8606,17.6418,0.0015,7.24,0.11,3.3022,0.1255,21.48,0.14,-44.35,0.09,55.6095,23.8608
522,65161250950264192,55.5123,23.9316,15.5555,0.001,7.13,0.07,2.709,0.0514,21.65,0.09,-44.01,0.06,55.5122,23.9318
296,65161976802151680,56.2457,23.3887,13.3746,0.002,7.55,0.02,1.7225,0.0054,19.89,0.02,-46.94,0.02,56.2456,23.3889
1086,65162492198224768,56.2851,23.4168,17.7804,0.002,7.46,0.14,3.2431,0.0981,20.62,0.19,-46.41,0.11,56.285,23.417
674,65163110673516928,56.2418,23.4085,16.3231,0.0021,7.43,0.06,2.9511,0.0638,18.8,0.08,-44.67,0.05,56.2417,23.4087
221,65164171528305792,56.3425,23.4715,12.1906,0.0015,7.31,0.01,1.307,0.0024,20.22,0.02,-44.65,0.01,56.3424,23.4717
634,65165653294149760,56.3059,23.5167,16.1574,0.0018,7.17,0.06,3.2043,0.061,20.68,0.07,-44.86,0.05,56.3058,23.5169
491,65167577439502592,56.1513,23.5029,15.3813,0.0015,7.2,0.04,2.6189,0.0458,19.26,0.05,-44.18,0.03,56.1512,23.5031
1092,65168844452782208,56.3185,23.567,17.8201,0.0017,7.09,0.13,3.3733,0.1089,19.65,0.17,-44.8,0.1,56.3184,23.5672
1254,65169394210980096,56.2214,23.5729,19.8013,0.0043,6.92,0.48,2.9886,0.1459,19.36,0.6,-44.83,0.4,56.2213,23.5731
870,65169943964429952,56.2783,23.6141,16.9888,0.0015,7.23,0.09,3.4484,0.1089,19.07,0.12,-44.98,0.08,56.2782,23.6143
636,65170016980919808,56.2363,23.6064,16.1719,0.0011,7.5,0.06,2.8698,0.0705,21.22,0.09,-46.28,0.05,56.2362,23.6066
1249,65171009118683264,56.4791,23.5659,19.6137,0.0039,7.09,0.41,3.4645,0.2452,18.01,0.45,-46.42,0.37,56.479,23.5661
876,65173620458875008,56.4627,23.6213,17.0189,0.0024,7.22,0.11,2.7246,0.039,20.37,0.13,-44.82,0.11,56.4626,23.6215
962,65175480179315840,56.3647,23.6323,17.2975,0.0012,7.57,0.1,3.0939,0.092,20.97,0.11,-45.66,0.08,56.3646,23.6325
1199,65178190301724544,56.4074,23.7304,18.7186,0.0024,7.79,0.21,3.3896,0.0779,20.54,0.26,-46.7,0.18,56.4073,23.7306
205,65178568258674176,56.4143,23.7541,11.9256,0.0017,7.14,0.08,1.623,0.0016,24.02,0.09,-45.25,0.07,56.4142,23.7543
572,65179946945247488,56.087,23.5609,15.7938,0.001,7.37,0.04,2.7236,0.0586,19.29,0.06,-46.3,0.04,56.0869,23.5611
574,65181115176348544,56.0687,23.6176,15.7946,0.0013,7.45,0.04,2.9485,0.0619,22.54,0.06,-47.59,0.04,56.0686,23.6178
616,65181527493208192,56.1322,23.5904,16.0553,0.0013,7.25,0.05,2.8238,0.0679,20.5,0.06,-45.04,0.04,56.1321,23.5906
595,65184894747573376,55.9047,23.6421,15.9294,9.0E-4,7.38,0.06,3.058,0.0935,19.87,0.08,-44.62,0.05,55.9046,23.6423
33,65184929107310592,55.9232,23.649,7.8599,4.0E-4,7.81,0.14,0.4854,4.0E-4,20.23,0.18,-45.62,0.12,55.9231,23.6492
57,65188090203295744,56.2721,23.7025,8.8883,3.0E-4,7.47,0.02,0.5366,0.0013,19.75,0.02,-46.4,0.02,56.272,23.7027
905,65189739470654464,56.2709,23.7683,17.1092,0.0012,7.5,0.09,3.3935,0.1317,20.58,0.1,-46.43,0.07,56.2708,23.7685
215,65190048708380160,56.3384,23.7273,12.0717,0.0014,7.28,0.01,1.538,0.0024,19.69,0.02,-44.56,0.01,56.3383,23.7275
267,65190220507070208,56.3733,23.7603,12.8558,6.0E-4,7.4,0.02,1.5522,0.0135,19.07,0.02,-45.76,0.01,56.3732,23.7605
1131,65190838982357760,56.4122,23.8154,18.0869,0.0032,7.44,0.16,3.3417,0.072,18.93,0.18,-44.77,0.14,56.4121,23.8156
1236,65194274954079104,56.143,23.8567,19.3092,0.003,7.88,0.34,3.4499,0.1502,20.34,0.4,-44.41,0.3,56.1429,23.8569
191,65194584193758336,56.2638,23.8392,11.6841,5.0E-4,7.43,0.02,1.1114,0.004,20.34,0.02,-45.77,0.01,56.2637,23.8394
1169,65195404530870144,56.3027,23.8957,18.384,0.0022,7.44,0.2,3.2893,0.104,19.7,0.22,-45.38,0.16,56.3026,23.8959
126,65196370900147968,56.2244,23.9211,10.5902,4.0E-4,7.23,0.01,1.0419,0.0017,21.06,0.02,-45.35,0.01,56.2243,23.9213
622,65196405259884544,56.2442,23.9279,16.096,0.0013,7.27,0.05,2.8608,0.0635,21.07,0.06,-45.63,0.04,56.2441,23.9281
621,65199222758514048,56.6668,23.7827,16.0909,0.0023,7.42,0.06,2.8713,0.033,18.57,0.06,-43.73,0.04,56.6667,23.7829
98,65199978672758272,56.6571,23.7875,10.0452,4.0E-4,7.47,0.02,0.9009,0.002,20.01,0.02,-47.27,0.02,56.657,23.7877
918,65200283613608704,56.6155,23.8125,17.162,0.001,7.4,0.11,3.3705,0.106,19.37,0.11,-43.87,0.08,56.6154,23.8127
218,65201039527567232,56.5116,23.7372,12.1337,0.001,7.43,0.02,1.7131,0.0036,19.5,0.02,-44.26,0.01,56.5115,23.7374
1197,65201073889760896,56.5315,23.745,18.6897,0.0053,7.25,0.24,2.9545,0.0762,18.57,0.25,-45.36,0.19,56.5314,23.7452
386,65201249983083392,56.5233,23.7571,14.3751,6.0E-4,7.31,0.03,2.4469,0.0411,20.58,0.03,-44.18,0.02,56.5232,23.7573
879,65202383854448384,56.4967,23.8129,17.0395,0.0012,7.58,0.1,2.7927,0.0839,20.46,0.11,-46.75,0.1,56.4966,23.8131
426,65202418214188544,56.4437,23.7952,14.8054,9.0E-4,7.01,0.13,2.5992,0.0384,19.2,0.14,-45.35,0.11,56.4436,23.7954
408,65202830531043968,56.5272,23.8388,14.6069,0.001,7.18,0.03,2.2873,0.0267,19.69,0.03,-45.97,0.02,56.5271,23.839
1244,65203723882387200,56.5928,23.8739,19.5113,0.0036,7.25,0.54,3.2247,0.1455,19.52,0.58,-43.36,0.38,56.5927,23.8741
671,65203758244032512,56.5926,23.8779,16.309,7.0E-4,7.11,0.07,3.1593,0.087,19.39,0.07,-43.3,0.05,56.5925,23.8781
1129,65204342359530112,56.5598,23.8506,18.0853,0.0019,7.27,0.17,3.8449,0.0809,18.42,0.17,-44.31,0.13,56.5597,23.8508
1221,65204342357685632,56.5599,23.8502,18.9637,0.0029,6.95,0.3,,,19.96,0.3,-43.3,0.23,56.5598,23.8504
1004,65206674525036672,56.7516,23.8799,17.4521,0.0013,7.26,0.12,3.6359,0.0977,19.58,0.14,-45.5,0.09,56.7515,23.8801
87,65207709613871744,56.8499,23.9143,9.7393,5.0E-4,7.19,0.05,0.8329,7.0E-4,19.61,0.06,-46.33,0.04,56.8498,23.9145
23,65207709611941376,56.8518,23.9145,7.2865,3.0E-4,7.22,0.03,0.0423,1.0E-4,20.05,0.04,-44.13,0.03,56.8517,23.9147
275,65208396808627840,56.9228,23.9717,13.0072,0.0017,7.37,0.02,1.5475,0.0042,20.52,0.02,-45.03,0.01,56.9227,23.9719
1178,65209079706818176,56.7945,23.9711,18.4829,0.0026,7.67,0.28,3.5176,0.109,21.07,0.31,-44.3,0.21,56.7944,23.9713
730,65210389673469312,56.7325,23.9399,16.5231,0.0012,7.0,0.08,3.1498,0.0654,19.46,0.09,-42.19,0.07,56.7324,23.9401
1233,65211038213901952,56.6474,23.9519,19.2816,0.0032,7.85,0.41,2.9209,0.1591,19.21,0.44,-44.7,0.31,56.6473,23.9521
339,65211145587780992,56.6497,23.9668,13.7362,0.0019,7.23,0.02,1.8533,0.0077,19.29,0.02,-44.07,0.02,56.6496,23.967
456,65211557904569856,56.6817,23.9949,15.068,8.0E-4,7.29,0.03,2.3863,0.0646,20.5,0.04,-45.34,0.03,56.6816,23.9951
46,65212107660378880,56.7677,23.995,8.3321,4.0E-4,7.4,0.03,0.4112,3.0E-4,21.32,0.03,-45.44,0.02,56.7676,23.9952
1161,65212206443054464,56.805,24.0124,18.3244,0.0024,7.21,0.25,3.0289,0.072,19.83,0.28,-44.44,0.19,56.8049,24.0126
